time,dt,state,T_gas,T_steam,p_gas,p_steam
0,50400.0,1,1100,530,0.2,17
50400.0,3600.0,4,1100.0,530.0,0.2,17.0
54000.0,28800.0,2,845,525,0.1,10
82800.0,3600.0,5,845.0,525.0,0.1,10.0
86400.0,50400.0,1,1100,530,0.2,17
136800.0,3600.0,4,1100.0,530.0,0.2,17.0
140400.0,28800.0,2,845,525,0.1,10
169200.0,3600.0,5,845.0,525.0,0.1,10.0
172800.0,50400.0,1,1100,530,0.2,17
223200.0,3600.0,4,1100.0,530.0,0.2,17.0
226800.0,28800.0,2,845,525,0.1,10
255600.0,3600.0,5,845.0,525.0,0.1,10.0
259200.0,50400.0,1,1100,530,0.2,17
309600.0,3600.0,4,1100.0,530.0,0.2,17.0
313200.0,28800.0,2,845,525,0.1,10
342000.0,3600.0,5,845.0,525.0,0.1,10.0
345600.0,50400.0,1,1100,530,0.2,17
396000.0,3600.0,4,1100.0,530.0,0.2,17.0
399600.0,28800.0,2,845,525,0.1,10
428400.0,3600.0,5,845.0,525.0,0.1,10.0
432000.0,50400.0,1,1100,530,0.2,17
482400.0,3600.0,4,1100.0,530.0,0.2,17.0
486000.0,28800.0,2,845,525,0.1,10
514800.0,3600.0,5,845.0,525.0,0.1,10.0
518400.0,50400.0,1,1100,530,0.2,17
568800.0,3600.0,4,1100.0,530.0,0.2,17.0
572400.0,28800.0,2,845,525,0.1,10
601200.0,3600.0,5,845.0,525.0,0.1,10.0
604800.0,50400.0,1,1100,530,0.2,17
655200.0,3600.0,4,1100.0,530.0,0.2,17.0
658800.0,28800.0,2,845,525,0.1,10
687600.0,3600.0,5,845.0,525.0,0.1,10.0
691200.0,50400.0,1,1100,530,0.2,17
741600.0,3600.0,4,1100.0,530.0,0.2,17.0
745200.0,28800.0,2,845,525,0.1,10
774000.0,3600.0,5,845.0,525.0,0.1,10.0
777600.0,50400.0,1,1100,530,0.2,17
828000.0,3600.0,4,1100.0,530.0,0.2,17.0
831600.0,28800.0,2,845,525,0.1,10
860400.0,3600.0,5,845.0,525.0,0.1,10.0
864000.0,50400.0,1,1100,530,0.2,17
914400.0,3600.0,4,1100.0,530.0,0.2,17.0
918000.0,28800.0,2,845,525,0.1,10
946800.0,3600.0,5,845.0,525.0,0.1,10.0
950400.0,50400.0,1,1100,530,0.2,17
1000800.0,3600.0,4,1100.0,530.0,0.2,17.0
1004400.0,28800.0,2,845,525,0.1,10
1033200.0,3600.0,5,845.0,525.0,0.1,10.0
1036800.0,50400.0,1,1100,530,0.2,17
1087200.0,3600.0,4,1100.0,530.0,0.2,17.0
1090800.0,28800.0,2,845,525,0.1,10
1119600.0,3600.0,5,845.0,525.0,0.1,10.0
1123200.0,50400.0,1,1100,530,0.2,17
1173600.0,3600.0,4,1100.0,530.0,0.2,17.0
1177200.0,28800.0,2,845,525,0.1,10
1206000.0,3600.0,5,845.0,525.0,0.1,10.0
1209600.0,50400.0,1,1100,530,0.2,17
1260000.0,3600.0,4,1100.0,530.0,0.2,17.0
1263600.0,28800.0,2,845,525,0.1,10
1292400.0,3600.0,5,845.0,525.0,0.1,10.0
1296000.0,50400.0,1,1100,530,0.2,17
1346400.0,3600.0,4,1100.0,530.0,0.2,17.0
1350000.0,28800.0,2,845,525,0.1,10
1378800.0,3600.0,5,845.0,525.0,0.1,10.0
1382400.0,50400.0,1,1100,530,0.2,17
1432800.0,3600.0,4,1100.0,530.0,0.2,17.0
1436400.0,28800.0,2,845,525,0.1,10
1465200.0,3600.0,5,845.0,525.0,0.1,10.0
1468800.0,50400.0,1,1100,530,0.2,17
1519200.0,3600.0,4,1100.0,530.0,0.2,17.0
1522800.0,28800.0,2,845,525,0.1,10
1551600.0,3600.0,5,845.0,525.0,0.1,10.0
1555200.0,50400.0,1,1100,530,0.2,17
1605600.0,3600.0,4,1100.0,530.0,0.2,17.0
1609200.0,28800.0,2,845,525,0.1,10
1638000.0,3600.0,5,845.0,525.0,0.1,10.0
1641600.0,50400.0,1,1100,530,0.2,17
1692000.0,3600.0,4,1100.0,530.0,0.2,17.0
1695600.0,28800.0,2,845,525,0.1,10
1724400.0,3600.0,5,845.0,525.0,0.1,10.0
1728000.0,50400.0,1,1100,530,0.2,17
1778400.0,3600.0,4,1100.0,530.0,0.2,17.0
1782000.0,28800.0,2,845,525,0.1,10
1810800.0,3600.0,5,845.0,525.0,0.1,10.0
1814400.0,50400.0,1,1100,530,0.2,17
1864800.0,3600.0,4,1100.0,530.0,0.2,17.0
1868400.0,28800.0,2,845,525,0.1,10
