time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years
864000,10,-2.4733491769748e-05,2.9806242415499e-05,-5.0727506457514e-06,-1.3554587431163e-08,1.4945336729243e-08,-1.3907492980801e-09,-16.67089125318,22.152408386873,-0.10142993074069,0.027777777777778
1728000,20,-4.5648019076695e-05,5.4709118185109e-05,-9.0610991084143e-06,-2.9491036741689e-08,3.2944450637916e-08,-3.4534138962265e-09,-16.651631335677,24.444260015148,0.14906025331619,0.055555555555556
2592000,30,-6.3474159611571e-05,7.5729734458182e-05,-1.2255574846611e-05,-4.7576702670274e-08,5.3740360966321e-08,-6.1636582960468e-09,-16.635884156874,26.317353832154,0.34920982248043,0.083333333333333
3456000,40,-7.9327431480181e-05,9.4309102533172e-05,-1.4981671052991e-05,-6.7912173758101e-08,7.7504245830665e-08,-9.5920720725643e-09,-16.620713519745,28.121704195569,0.53244549167675,0.11111111111111
4320000,50,-9.3846336767337e-05,0.00011126105941169,-1.7414722644357e-05,-9.0614789304195e-08,1.0442893112995e-07,-1.3814141825754e-08,-16.605942988345,29.878509073058,0.70380522128308,0.13888888888889
5184000,60,-0.00010742065706092,0.00012707776276961,-1.9657105708683e-05,-1.1581166891996e-07,1.3472092800471e-07,-1.890925908475e-08,-16.591476319491,31.599258375047,0.86596758610725,0.16666666666667
6048000,70,-0.00012030176295326,0.00014207408981786,-2.1772326864607e-05,-1.436371932177e-07,1.6859740740611e-07,-2.4960214188409e-08,-16.577251565565,33.291332689096,1.0208676688918,0.19444444444444
6912000,80,-0.00013265850513705,0.0001564600251209,-2.3801519983851e-05,-1.7423134142824e-07,2.0628414754428e-07,-3.2052806116042e-08,-16.563227329014,34.959643397941,1.16994496338,0.22222222222222
7776000,90,-0.00014460786296081,0.00017038000952664,-2.5772146565826e-05,-2.0773852939265e-07,2.4801405667106e-07,-4.0275527278406e-08,-16.549375244101,36.607552390568,1.3142899323421,0.25
8640000,100,-0.00015623284945087,0.00018393576462389,-2.770291517302e-05,-2.4430676377601e-07,2.9402606499132e-07,-4.9719301215309e-08,-16.535675546454,38.237418908028,1.4547389025518,0.27777777777778
9504000,110,-0.00016759351723624,0.00019720024373032,-2.9606726494075e-05,-2.8408700362763e-07,3.4456426256953e-07,-6.0477258941896e-08,-16.522113777936,39.850937035097,1.5919390305319,0.30555555555556
10368000,120,-0.00017873400768236,0.0002102265290453,-3.1492521362938e-05,-3.2723266285718e-07,3.998772061907e-07,-7.2644543333519e-08,-16.508679378476,41.449349337405,1.7263943363235,0.33333333333333
11232000,130,-0.00018968722066035,0.00022305370712212,-3.3366486461766e-05,-3.7389921507751e-07,4.602173513033e-07,-8.6318136225795e-08,-16.495364390471,43.033588014921,1.8584999371759,0.36111111111111
12096000,140,-0.00020047798575945,0.00023571085063143,-3.5232864871979e-05,-4.2424386517628e-07,5.2584056520694e-07,-1.0159670003066e-07,-16.482162807986,44.604365420333,1.9885671302802,0.38888888888889
12960000,150,-0.00021112526717446,0.00024821978263554,-3.7094515461079e-05,-4.7842527429267e-07,5.9700570699527e-07,-1.185804327026e-07,-16.469069823877,46.162237769431,2.1168427562817,0.41666666666667
13824000,160,-0.00022164371981632,0.00026059702576088,-3.8953305944559e-05,-5.3660332252342e-07,6.7397425429543e-07,-1.3737093177201e-07,-16.456081615806,47.707647703322,2.2435239050198,0.44444444444444
14688000,170,-0.00023204480314735,0.00027285519636515,-4.0810393217803e-05,-5.9893889957388e-07,7.5700996541116e-07,-1.5807106583728e-07,-16.443195072058,49.240953933224,2.3687689420489,0.47222222222222
15552000,180,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,-16.430407614209,50.762453363959,2.4927062105453,0.5
15559200,180.08333333333,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,-10.418311987389,103.53389614797,62.26133213436,0.50023148148148
15566400,180.16666666667,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,-4.7293307435524,120.02874642961,86.036660010002,0.50046296296296
15573600,180.25,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,0.43126212892286,68.588786055468,42.441144801394,0.50069444444444
