time,damage,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years
864000,0,10,-3.678205132657e-05,4.1672579150993e-05,-4.8905278244234e-06,-2.0113206564073e-08,2.0977055734543e-08,-8.6384917046991e-10,-16.691324146702,27.960277819263,4.2254249621235,0.027777777777778
1728000,0.12576603904208,20,-6.4244710403241e-05,7.3578835079312e-05,-9.334124676071e-06,-4.2781009605641e-08,4.6027462960959e-08,-3.2464533553177e-09,-16.687586052628,29.044477461897,3.2205644435202,0.055555555555556
2592000,0.25291032270028,30,-8.6508972096453e-05,9.9567965259909e-05,-1.3058993163455e-05,-6.8587288856168e-08,7.5400674164587e-08,-6.8133853084189e-09,-16.675478914201,31.027772431718,3.1047774280916,0.083333333333333
3456000,0.29434501534911,40,-0.00010602846402401,0.00012239020029365,-1.6361736269643e-05,-9.7903206388746e-08,1.0954756120151e-07,-1.1644354812763e-08,-16.662728759782,33.00546761795,3.1445046920042,0.11111111111111
4320000,0.33575156309211,50,-0.00012382972558211,0.00014322787365896,-1.9398148076856e-05,-1.3097073923844e-07,1.4882558031853e-07,-1.7854841080096e-08,-16.64871671377,34.89778045292,3.2298281896406,0.13888888888889
5184000,0.37908521539769,60,-0.00014046367842614,0.00016272164461614,-2.2257966190002e-05,-1.68006875318e-07,1.9357969121887e-07,-2.5572815900861e-08,-16.637298288425,36.70101996448,3.3284956074528,0.16666666666667
6048000,0.42374295445748,70,-0.00015624353811066,0.00018123748636037,-2.4993948249713e-05,-2.092102956267e-07,2.4414135284829e-07,-3.493105722159e-08,-16.62655618773,38.416998212132,3.4295116887541,0.19444444444444
6912000,0.46959705668752,80,-0.00017136585912773,0.00019900474563789,-2.7638886510162e-05,-2.5477120208798e-07,3.0083573807341e-07,-4.6064535985435e-08,-16.61647168399,40.049951558246,3.528064114032,0.22222222222222
7776000,0.51646336755796,90,-0.0001859608183554,0.00021617467385103,-3.0213855495624e-05,-3.0487297843388e-07,3.6398212223548e-07,-5.9109143801598e-08,-16.60700740096,41.603988932779,3.6218237279549,0.25
8640000,0.56424024248205,100,-0.00020011846863827,0.00023285127375405,-3.2732805115784e-05,-3.5969292634065e-07,4.338939468055e-07,-7.4201020464853e-08,-16.598131683467,43.082974158379,3.7095864645219,0.27777777777778
9504000,0.61284281898397,110,-0.0002139035490076,0.00024910879275095,-3.5205243743348e-05,-4.1940265735165e-07,5.1087883104936e-07,-9.1476173697714e-08,-16.58981635452,44.490496085606,3.7907072955975,0.30555555555556
