,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
4,86400,1.0,-2.1099274480609e-06,2.6036228120358e-06,-4.9369536397487e-07,-7.398627352028201e-10,8.027130686237501e-10,-6.2850333420928e-11,-16.70092121204,18.650357557232,-2.2886469985221,0.0027777777777778,50400.0,1,1100.0,530.0,0.2,17.0
8,172800,2.0,-4.1579396725067e-06,5.1201488489393e-06,-9.6220917643261e-07,-1.3830216074405e-09,1.5312646778384e-09,-1.4824307039792001e-10,-16.698140273793,18.799933725376,-2.2669839335078,0.0055555555555556,50400.0,1,1100.0,530.0,0.2,17.0
12,259200,3.0,-6.1470500184895e-06,7.5590661909345e-06,-1.4120161724449e-06,-2.0333742825165e-09,2.2690684870232e-09,-2.3569420450673003e-10,-16.6985823349,18.930973821161,-2.2531980973059,0.0083333333333333,50400.0,1,1100.0,530.0,0.2,17.0
16,345600,4.0,-8.081510096831e-06,9.9261089698455e-06,-1.8445988730145e-06,-2.6909556404574e-09,3.0161751461238e-09,-3.2521950566644004e-10,-16.695797643857,19.077728041973,-2.2320289125821,0.011111111111111,50400.0,1,1100.0,530.0,0.2,17.0
20,432000,5.0,-9.9646183355024e-06,1.2225785331919e-05,-2.2611669964167e-06,-3.3557055841736e-09,3.7725233479249e-09,-4.168177637513e-10,-16.696291140314,19.206328486018,-2.2186674700896,0.013888888888889,50400.0,1,1100.0,530.0,0.2,17.0
24,518400,6.0,-1.1799768025421e-05,1.4462664568465e-05,-2.6628965430447e-06,-4.0276383848641e-09,4.538139616041e-09,-5.105012311769e-10,-16.695092793104,19.342178360752,-2.2016787433371,0.016666666666667,50400.0,1,1100.0,530.0,0.2,17.0
28,604800,7.0,-1.3589925475901e-05,1.6640747593218e-05,-3.0508221173172e-06,-4.7067473837403e-09,5.3130259033584e-09,-6.062785196181501e-10,-16.694039884568,19.476860957875,-2.1850073249182,0.019444444444444,50400.0,1,1100.0,530.0,0.2,17.0
32,691200,8.0,-1.533779501435e-05,1.876367503124e-05,-3.4258800168908e-06,-5.3930273157354e-09,6.0971858039142e-09,-7.041584881787801e-10,-16.692863032943,19.610595617367,-2.1683747899871,0.022222222222222,50400.0,1,1100.0,530.0,0.2,17.0
36,777600,9.0,-1.7045850403687e-05,2.0834770584704e-05,-3.7889201810171e-06,-6.0864741281788e-09,6.8906245431096e-09,-8.0415041493085e-10,-16.691819353648,19.743055033334,-2.1521397493256,0.025,50400.0,1,1100.0,530.0,0.2,17.0
40,864000,10.0,-1.871636904695e-05,2.2857087084968e-05,-4.1407180380179e-06,-6.7870871548025e-09,7.6933512640901e-09,-9.0626410928756e-10,-16.69073839322,19.874899561715,-2.1359035335036,0.027777777777778,50400.0,1,1100.0,530.0,0.2,17.0
44,950400,11.0,-2.0351436335638e-05,2.4833416006757e-05,-4.4819796711194e-06,-7.4948652152296e-09,8.5053746603511e-09,-1.0105094451215e-09,-16.689640354716,20.005581601994,-2.1199130389069,0.030555555555556,50400.0,1,1100.0,530.0,0.2,17.0
48,1036800,12.0,-2.1952981260331e-05,2.6766333631571e-05,-4.8133523712396e-06,-8.2098100432523e-09,9.3267068661651e-09,-1.1168968229128e-09,-16.688543533447,20.135553753894,-2.1040085058412,0.033333333333333,50400.0,1,1100.0,530.0,0.2,17.0
52,1123200,13.0,-2.3522780278182e-05,2.8658209135194e-05,-5.1354288570117e-06,-8.9319236081246e-09,1.0157360400943e-08,-1.2254367928185e-09,-16.687442787516,20.264541365421,-2.0883101891636,0.036111111111111,50400.0,1,1100.0,530.0,0.2,17.0
56,1209600,14.0,-2.5062474323493e-05,3.0511227683283e-05,-5.4487533597901e-06,-9.6612083240815e-09,1.0997348391548e-08,-1.3361400674666e-09,-16.686293345822,20.392417666673,-2.0728469024465,0.038888888888889,50400.0,1,1100.0,530.0,0.2,17.0
60,1296000,15.0,-2.6573606074818e-05,3.2327436671765e-05,-5.753830596947e-06,-1.0397672708823e-08,1.1846691134551e-08,-1.4490184257282e-09,-16.685312517238,20.520274575958,-2.05735531406,0.041666666666667,50400.0,1,1100.0,530.0,0.2,17.0
64,1382400,16.0,-2.8057581434079e-05,3.410870308795e-05,-6.0511216538715e-06,-1.1141320153695e-08,1.2705403022768e-08,-1.5640828690727e-09,-16.684187859011,20.646823944907,-2.0421136378998,0.044444444444444,50400.0,1,1100.0,530.0,0.2,17.0
68,1468800,17.0,-2.9515836700641e-05,3.5856914314334e-05,-6.3410776136932e-06,-1.1892185660843e-08,1.3573536171986e-08,-1.6813505111433e-09,-16.681484270493,20.781263726739,-2.0231911284082,0.047222222222222,50400.0,1,1100.0,530.0,0.2,17.0
72,1555200,18.0,-3.0949377176155e-05,3.7573427519442e-05,-6.6240503432871e-06,-1.2650224573566e-08,1.4451047607791e-08,-1.8008230342251e-09,-16.682086241353,20.898250688684,-2.0119778884383,0.05,50400.0,1,1100.0,530.0,0.2,17.0
76,1641600,19.0,-3.2359465795667e-05,3.9259896906432e-05,-6.9004311107651e-06,-1.3415473136043e-08,1.5337990941306e-08,-1.9225178052631e-09,-16.681040898898,21.023235816466,-1.9969940773061,0.052777777777778,50400.0,1,1100.0,530.0,0.2,17.0
80,1728000,20.0,-3.374716546931e-05,4.0917724961659e-05,-7.1705594923492e-06,-1.4187938489254e-08,1.6234385233023e-08,-2.0464467437684e-09,-16.679950718481,21.146893952387,-1.9823673640466,0.055555555555556,50400.0,1,1100.0,530.0,0.2,17.0
84,1814400,21.0,-3.5113494100535e-05,4.2548249845159e-05,-7.4347557446242e-06,-1.4967634940999e-08,1.7140257966527e-08,-2.1726230255278e-09,-16.678981952313,21.270672381587,-1.9676679548088,0.058333333333333,50400.0,1,1100.0,530.0,0.2,17.0
88,1900800,22.0,-3.6459383416448e-05,4.415269804886e-05,-7.6933146324119e-06,-1.5754571758397e-08,1.8055630764914e-08,-2.3010590065174e-09,-16.677892799508,21.393398236337,-1.9531727387363,0.061111111111111,50400.0,1,1100.0,530.0,0.2,17.0
92,1987200,23.0,-3.7785726301987e-05,4.5732240390806e-05,-7.9465140888191e-06,-1.6548763822669e-08,1.8980531908395e-08,-2.4317680857258e-09,-16.67691907258,21.516023973849,-1.938690904379,0.063888888888889,50400.0,1,1100.0,530.0,0.2,17.0
96,2073600,24.0,-3.9093347625802e-05,4.7287959314783e-05,-8.1946116889812e-06,-1.7350222920194e-08,1.9914986121188e-08,-2.5647632009939e-09,-16.675892306771,21.637818228871,-1.9243985831128,0.066666666666667,50400.0,1,1100.0,530.0,0.2,17.0
100,2160000,25.0,-4.0383031696154e-05,4.882088138893e-05,-8.4378496927754e-06,-1.8158963791721e-08,2.0859021609655e-08,-2.7000578179341e-09,-16.674910120799,21.759257894233,-1.9101716409005,0.069444444444444,50400.0,1,1100.0,530.0,0.2,17.0
104,2246400,26.0,-4.1655509646763e-05,5.0331963543726e-05,-8.6764538969633e-06,-1.897499980595e-08,2.1812665016848e-08,-2.8376652108985e-09,-16.673860492012,21.879970835634,-1.8960747971166,0.072222222222222,50400.0,1,1100.0,530.0,0.2,17.0
108,2332800,27.0,-4.2911479769192e-05,5.1822117083055e-05,-8.9106373138629e-06,-1.9800520717477e-08,2.2780994000788e-08,-2.9804732833111e-09,-16.672841025173,22.000408677825,-1.8820235212422,0.075,50400.0,1,1100.0,530.0,0.2,17.0
112,2419200,28.0,-4.4151595484893e-05,5.3292194871675e-05,-9.140599386782e-06,-2.0635586499835e-08,2.3764111966356e-08,-3.1285254665214e-09,-16.671871686026,22.120228998085,-1.8681599485044,0.077777777777778,50400.0,1,1100.0,530.0,0.2,17.0
116,2505600,29.0,-4.5376474162758e-05,5.4743001416227e-05,-9.3665272534697e-06,-2.147810589782e-08,2.475715609805e-08,-3.27905020023e-09,-16.670837563244,22.239544474671,-1.8543488147005,0.080555555555556,50400.0,1,1100.0,530.0,0.2,17.0
120,2592000,30.0,-4.6586797334992e-05,5.6175412578168e-05,-9.5886152431763e-06,-2.2328126036547e-08,2.5760194816877e-08,-3.4320687803305e-09,-16.668150276808,22.366779354224,-1.8368503595687,0.083333333333333,50400.0,1,1100.0,530.0,0.2,17.0
124,2678400,31.0,-4.77829284069e-05,5.7589922717302e-05,-9.8069943104023e-06,-2.318560927669e-08,2.6773194275002e-08,-3.5875849983123e-09,-16.668767070071,22.476981628604,-1.8269592970539,0.086111111111111,50400.0,1,1100.0,530.0,0.2,17.0
128,2764800,32.0,-4.8965490922346e-05,5.8987330581845e-05,-1.0021839659498e-05,-2.4050603753073e-08,2.7796224133402e-08,-3.7456203803295e-09,-16.667819172223,22.595193844093,-1.8134111729672,0.088888888888889,50400.0,1,1100.0,530.0,0.2,17.0
132,2851200,33.0,-5.013507679954e-05,6.0368393144909e-05,-1.0233316345369e-05,-2.4923158613425e-08,2.8829355449025e-08,-3.9061968355996e-09,-16.66519150151,22.721352582468,-1.7961526316934,0.091666666666667,50400.0,1,1100.0,530.0,0.2,17.0
136,2937600,34.0,-5.1291967354232e-05,6.1733496703084e-05,-1.0441529348852e-05,-2.5803234897122e-08,2.9872552770211e-08,-4.0693178730896e-09,-16.665827815046,22.830124882619,-1.786605752477,0.094444444444444,50400.0,1,1100.0,530.0,0.2,17.0
140,3024000,35.0,-5.2436710764565e-05,6.3083339889381e-05,-1.0646629124816e-05,-2.6690883630662e-08,3.092588939544e-08,-4.2350057647778e-09,-16.664841570287,22.947243714183,-1.7732422830799,0.097222222222222,50400.0,1,1100.0,530.0,0.2,17.0
144,3110400,36.0,-5.3569734084476e-05,6.4418475035937e-05,-1.0848740951461e-05,-2.7586125881766e-08,3.1989402558976e-08,-4.4032766772097e-09,-16.663892711534,23.063864882095,-1.7600411765392,0.1,50400.0,1,1100.0,530.0,0.2,17.0
148,3196800,37.0,-5.4691443330155e-05,6.5739426646111e-05,-1.1047983315956e-05,-2.8488983102898e-08,3.3063129887844e-08,-4.5741467849465e-09,-16.66288221594,23.180155805635,-1.7468416171521,0.10277777777778,50400.0,1,1100.0,530.0,0.2,17.0
152,3283200,38.0,-5.5802230724791e-05,6.7046700355264e-05,-1.1244469630473e-05,-2.9399478976509e-08,3.4147111820346e-08,-4.7476328438373e-09,-16.661956126822,23.296347908476,-1.7336994917967,0.10555555555556,50400.0,1,1100.0,530.0,0.2,17.0
156,3369600,39.0,-5.6902458853315e-05,6.8340764513335e-05,-1.1438305660019e-05,-3.0317633872436e-08,3.5241384830708e-08,-4.9237509582718e-09,-16.660957314718,23.41182028317,-1.7207159543908,0.10833333333333,50400.0,1,1100.0,530.0,0.2,17.0
160,3456000,40.0,-5.7992486797616e-05,6.962208079218e-05,-1.1629593994564e-05,-3.1243473091429e-08,3.6345991336992e-08,-5.1025182455629e-09,-16.660076350957,23.527375913187,-1.7077335298244,0.11111111111111,50400.0,1,1100.0,530.0,0.2,17.0
164,3542400,41.0,-5.907264544635e-05,7.0891075632125e-05,-1.1818430185774e-05,-3.217701808125e-08,3.7460969179432e-08,-5.2839510981826e-09,-16.659091283985,23.642321317317,-1.6948513125156,0.11388888888889,50400.0,1,1100.0,530.0,0.2,17.0
168,3628800,42.0,-6.0143254573053e-05,7.2148160363159e-05,-1.2004905790106e-05,-3.3118292116783e-08,3.8586358421766e-08,-5.4680663049832e-09,-16.658050333112,23.756949458849,-1.6819991417809,0.11666666666667,50400.0,1,1100.0,530.0,0.2,17.0
172,3715200,43.0,-6.1204620309358e-05,7.3393728352715e-05,-1.2189108043357e-05,-3.4067318904186e-08,3.9722199725797e-08,-5.6548808216103e-09,-16.6571058224,23.871143553985,-1.6693343860306,0.11944444444444,50400.0,1,1100.0,530.0,0.2,17.0
176,3801600,44.0,-6.2257038396423e-05,7.4628158885757e-05,-1.2371120489334e-05,-3.5024123606048e-08,4.0868535506815e-08,-5.8444119007668e-09,-16.656169336052,23.985232328849,-1.6566713472812,0.12222222222222,50400.0,1,1100.0,530.0,0.2,17.0
180,3888000,45.0,-6.3300790819683e-05,7.5851813355166e-05,-1.2551022535483e-05,-3.598873134543e-08,4.2025408131077e-08,-6.0366767856462e-09,-16.655202106825,24.099166192069,-1.6439851362142,0.125,50400.0,1,1100.0,530.0,0.2,17.0
184,3974400,46.0,-6.433614396464e-05,7.7065033423252e-05,-1.2728889458612e-05,-3.6961166295228e-08,4.3192858937996e-08,-6.2316926427679e-09,-16.654227528411,24.212698545871,-1.6314120912304,0.12777777777778,50400.0,1,1100.0,530.0,0.2,17.0
188,4060800,47.0,-6.5363353698875e-05,7.8268146836962e-05,-1.2904793138087e-05,-3.794145311787e-08,4.4370929851437e-08,-6.4294767335669e-09,-16.653220669427,24.325880963132,-1.6189028341973,0.13055555555556,50400.0,1,1100.0,530.0,0.2,17.0
192,4147200,48.0,-6.6382755750302e-05,7.9461573601541e-05,-1.3078817851238e-05,-3.892965124664e-08,4.5559705308467e-08,-6.6300540618264e-09,-16.650676622255,24.447485443976,-1.6026381640123,0.13333333333333,50400.0,1,1100.0,530.0,0.2,17.0
196,4233600,49.0,-6.7394497669678e-05,8.0645511750355e-05,-1.3251014080677e-05,-3.9925754051302e-08,4.6759189122599e-08,-6.8334350712973e-09,-16.649730219186,24.560235630395,-1.5902509408661,0.13611111111111,50400.0,1,1100.0,530.0,0.2,17.0
200,4320000,50.0,-6.839872532856e-05,8.1820155490076e-05,-1.3421430161516e-05,-4.0929755836786e-08,4.7969386134032e-08,-7.0396302972467e-09,-16.65047802278,24.66448265212,-1.581688435933,0.13888888888889,50400.0,1,1100.0,530.0,0.2,17.0
