time,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,nl_its,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz
0,0,0,0,0,0,0,0,0,0,0
16800,-6.5472675658249e-07,8.0593601409239e-07,-1.5120925750989e-07,5,-1.941576812495e-10,2.1913902399837e-10,-2.498134274887e-11,-16.70188704349,18.417457351683,-2.3267200624577
33600,-1.294648187147e-06,1.5936470353144e-06,-2.9899884816744e-07,1,-3.8831470168844e-10,4.3827730196587e-10,-4.9962600277428e-11,-16.701868254123,18.417436184383,-2.3267176410057
50400,-1.9365669941508e-06,2.3827054667347e-06,-4.4613847258388e-07,2,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-16.70160737773,18.490391210926,-2.3285263058161
51600,-1.9405514123545e-06,2.3890777524417e-06,-4.4852634008718e-07,3,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-14.445689680934,12.407964417802,-5.5991541088025
52800,-1.9406878414452e-06,2.3896238735482e-06,-4.4893603210306e-07,3,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-12.187986279461,6.4684479443991,-8.7263713950716
54000,-1.9405962175897e-06,2.3897285678029e-06,-4.491323502132e-07,3,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-9.9291449282198,0.66943384675463,-11.712915194381
63600,-1.9398633920561e-06,2.39056617132e-06,-4.5070277926394e-07,1,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-9.9288586796573,0.67091171458645,-11.71206725292
73200,-1.9391306698675e-06,2.3914038459219e-06,-4.522731760544e-07,1,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-9.928841236229,0.67137894836072,-11.712233522041
82800,-1.9383980483892e-06,2.3922415931251e-06,-4.5384354473593e-07,1,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-9.928828181432,0.6719583951452,-11.712286405385
84000,-1.938534671513e-06,2.3927880885725e-06,-4.5425341705942e-07,3,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-12.187149815087,6.4708464935866,-8.7261246387542
85200,-1.9425220791581e-06,2.3991642219721e-06,-4.5664214281402e-07,3,-5.8360096694004e-10,6.5895703812577e-10,-7.5356071185723e-11,-14.444663548862,12.409330223734,-5.6007092729856
