,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
4,86400,1.0,-2.0626363116808998e-06,2.5412194926999003e-06,-4.7858318101902e-07,-6.2855027498006e-10,7.1008697097095e-10,-8.1536695990891e-11,-16.699762772211002,18.502420571688003,-2.3267460806833,0.0027777777777778,50400.0,1,1100.0,530.0,0.2,17.0
8,172800,2.0,-4.0637466202544e-06,5.001312153968e-06,-9.375655337136101e-07,-1.2630797925304e-09,1.4283087108987e-09,-1.6522891836828e-10,-16.698625436949,18.637699966503,-2.3132880635777004,0.0055555555555556,50400.0,1,1100.0,530.0,0.2,17.0
12,259200,3.0,-6.0089277213687e-06,7.3875978109033e-06,-1.3786700895346e-06,-1.9045383567952e-09,2.1554997228605e-09,-2.5096136606532e-10,-16.697473654972,18.774731818439,-2.2969488145140002,0.0083333333333333,50400.0,1,1100.0,530.0,0.2,17.0
16,345600,4.0,-7.9019270030994e-06,9.705169454405199e-06,-1.8032424513059e-06,-2.5530147812114997e-09,2.8917407196785e-09,-3.3872593846705e-10,-16.696327389194,18.911111072888,-2.280208616216,0.011111111111111,50400.0,1,1100.0,530.0,0.2,17.0
20,432000,5.0,-9.7461018575655e-06,1.1958582235844e-05,-2.2124803782782e-06,-3.2085245412391996e-09,3.6370509972462995e-09,-4.2852645600710997e-10,-16.695189330326,19.046515051763002,-2.2634506148453997,0.013888888888889,50400.0,1,1100.0,530.0,0.2,17.0
24,518400,6.0,-1.1544498810142e-05,1.4151960880592999e-05,-2.6074620704506002e-06,-3.8710699765357005e-09,4.3914394826631006e-09,-5.203695061273699e-10,-16.694059943070002,19.180887874184002,-2.2467850628194,0.016666666666667,50400.0,1,1100.0,530.0,0.2,17.0
28,604800,7.0,-1.329989483855e-05,1.6289057280138e-05,-2.9891624415871003e-06,-4.5406502867512005e-09,5.1549131676187e-09,-6.142628808674501e-10,-16.692939142693,19.314239390975,-2.2302519442118,0.019444444444444,50400.0,1,1100.0,530.0,0.2,17.0
32,691200,8.0,-1.5014829177694e-05,1.8373295079346e-05,-3.3584659016512997e-06,-5.2172643064342e-09,5.9274794143654005e-09,-7.102151079312e-10,-16.691826671996,19.446600116583,-2.213866677428,0.022222222222222,50400.0,1,1100.0,530.0,0.2,17.0
36,777600,9.0,-1.6691629883704e-05,2.0407806928934e-05,-3.7161770452303e-06,-5.9009114749345995e-09,6.709146733846801e-09,-8.082352589122099e-10,-16.690722216976,19.578007357854,-2.1976344414289,0.025,50400.0,1,1100.0,530.0,0.2,17.0
40,864000,10.0,-1.8332436592142e-05,2.2395466362531e-05,-4.0630297703886e-06,-6.591592211879699e-09,7.4999250645983e-09,-9.083328527186801e-10,-16.689625449679998,19.708500133787002,-2.1815556591002,0.027777777777778,50400.0,1,1100.0,530.0,0.2,17.0
44,950400,11.0,-1.9939220215536e-05,2.4338915341521e-05,-4.3996951259854004e-06,-7.2893080580984e-09,8.2998258557644e-09,-1.010517797666e-09,-16.688536044872,19.838117062566,-2.1656283934536003,0.030555555555556002,50400.0,1,1100.0,530.0,0.2,17.0
48,1036800,12.0,-2.151380011169e-05,2.6240588219554e-05,-4.7267881078641e-06,-7.9940617153593e-09,9.1088620679542e-09,-1.114800352595e-09,-16.687453688983,19.966895461986,-2.1498495117321,0.03333333333333299,50400.0,1,1100.0,530.0,0.2,17.0
52,1123200,13.0,-2.3057859109852e-05,2.8102732678171998e-05,-5.0448735683191e-06,-8.7058570375615e-09,9.9270481350757e-09,-1.2211910975142e-09,-16.686378083236,20.094870940076,-2.1342152726326002,0.036111111111111,50400.0,1,1100.0,530.0,0.2,17.0
56,1209600,14.0,-2.4572956722806e-05,2.9927428101302e-05,-5.354471378496201e-06,-9.424698999727199e-09,1.075439991038e-08,-1.3297009106528999e-09,-16.685308941847,20.222077360746,-2.1187216556151,0.038888888888889,50400.0,1,1100.0,530.0,0.2,17.0
60,1296000,15.0,-2.6060540797345e-05,3.1716601748277e-05,-5.6560609509321995e-06,-1.015059365576e-08,1.1590934604756e-08,-1.4403409489962e-09,-16.684245997362,20.348546691755,-2.1033645535792,0.041666666666667,50400.0,1,1100.0,530.0,0.2,17.0
64,1382400,16.0,-2.752195783301e-05,3.3472043052087e-05,-5.950085219077099e-06,-1.0883548093552e-08,1.2436670725883001e-08,-1.5531226323310002e-09,-16.683188994577,20.474309210945002,-2.0881398612002,0.044444444444444,50400.0,1,1100.0,530.0,0.2,17.0
68,1468800,17.0,-2.8958462135549e-05,3.5195416281123e-05,-6.2369541455741e-06,-1.1623570387978001e-08,1.3291628016916e-08,-1.6680576289378001e-09,-16.682137692610002,20.599393516212,-2.0730435459152,0.047222222222222,50400.0,1,1100.0,530.0,0.2,17.0
72,1555200,18.0,-3.0371223968383e-05,3.6888271795343e-05,-6.5170478269595e-06,-1.237066955547e-08,1.4155827398786002e-08,-1.785157843316e-09,-16.681091865485,20.723826596302,-2.0580716962364,0.05,50400.0,1,1100.0,530.0,0.2,17.0
76,1641600,19.0,-3.1761336814005996e-05,3.8552056057009e-05,-6.7907192430031e-06,-1.3124855507298e-08,1.5029290911214e-08,-1.9044354039159e-09,-16.680051298313998,20.847633967326,-2.0432205103108,0.05277777777777801,50400.0,1,1100.0,530.0,0.2,17.0
80,1728000,20.0,-3.3129823888678995e-05,4.0188120596472995e-05,-7.0582967077934995e-06,-1.388613900911e-08,1.5912041662887e-08,-2.0259026537769003e-09,-16.679015787622003,20.970839765675002,-2.0284863329376,0.055555555555556,50400.0,1,1100.0,530.0,0.2,17.0
84,1814400,21.0,-3.4477643964023e-05,4.1797730012291e-05,-7.3200860482677e-06,-1.4654531637856001e-08,1.68041037779e-08,-2.1495721400441004e-09,-16.677985143426,21.093466772722,-2.0138656473811,0.058333333333333,50400.0,1,1100.0,530.0,0.2,17.0
