,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
22,86400.0,1.0,-9.6118002853496e-07,1.2773798602556e-06,-3.1619983172062e-07,-6.172052741821701e-10,6.976979533532901e-10,-8.049267917112299e-11,-16.699418394293,18.543297112054997,-2.3395823034425,0.0027777777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
26,172800.0,2.0,-1.9007208479216e-06,2.5252181206733997e-06,-6.2449727275175e-07,-1.2551445279593e-09,1.4211110426113e-09,-1.6596651465198998e-10,-16.697882853305,18.725993684785,-2.3298766551325,0.0055555555555556,50400.0,1.0,1100.0,530.0,0.2,17.0
30,259200.0,3.0,-2.8113425225552e-06,3.7348374947701004e-06,-9.2349497221483e-07,-1.9021677693686e-09,2.1565909116015e-09,-2.5442314223290997e-10,-16.696387548986,18.903903343236,-2.3204317260978,0.0083333333333333,50400.0,1.0,1100.0,530.0,0.2,17.0
34,345600.0,4.0,-3.6960257955918e-06,4.9102329284891e-06,-1.2142071328972e-06,-2.5581363411543e-09,2.9039721196551e-09,-3.4583577850083997e-10,-16.69492909568,19.077428823756,-2.3112330547621,0.011111111111111,50400.0,1.0,1100.0,530.0,0.2,17.0
38,432000.0,5.0,-4.5572504567909e-06,6.0547240942878e-06,-1.4974736374969e-06,-3.2229237395866e-09,3.6631044591378e-09,-4.4018071955128e-10,-16.693504566076,19.24691838243,-2.3022638681884,0.013888888888889,50400.0,1.0,1100.0,530.0,0.2,17.0
42,518400.0,6.0,-5.3971102162480995e-06,7.1711098297217e-06,-1.7739996134736e-06,-3.8964140373713e-09,4.4338508698537994e-09,-5.3743683248247e-10,-16.69211141916,19.412674293932,-2.2935076509548,0.016666666666667,50400.0,1.0,1100.0,530.0,0.2,17.0
46,604800.0,7.0,-6.2173915268858e-06,8.2617747364765e-06,-2.0443832095907e-06,-4.5785005088496e-09,5.2160856667839e-09,-6.375851579342401e-10,-16.690747437247,19.574960368895,-2.2849490491735,0.019444444444444,50400.0,1.0,1100.0,530.0,0.2,17.0
50,691200.0,8.0,-7.019626521109799e-06,9.3287616651573e-06,-2.3091351440475e-06,-5.2690844558457e-09,6.0096930467526e-09,-7.4060859090685e-10,-16.689410673898,19.734008201514,-2.2765741354139997,0.022222222222222,50400.0,1.0,1100.0,530.0,0.2,17.0
54,777600.0,9.0,-7.8051432159314e-06,1.0373839049881e-05,-2.5686958339494e-06,-5.968074220744e-09,6.8145658433854e-09,-8.4649162264132e-10,-16.688099408382,19.890022439238997,-2.2683703875785,0.025,50400.0,1.0,1100.0,530.0,0.2,17.0
58,864000.0,10.0,-8.5751015064712e-06,1.1398549498322e-05,-2.8234479918507998e-06,-6.675384345987099e-09,7.630604472469699e-09,-9.5522012648255e-10,-16.68681211289,20.043184915129,-2.2603266023522997,0.027777777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
