time,dt,state,T_gas,T_steam,p_gas,p_steam
0,16800.0,1,1100,530,0.2,17
16800.0,16800.0,1,1100,530,0.2,17
33600.0,16800.0,1,1100,530,0.2,17
50400.0,1200.0,4,1100.0,530.0,0.2,17.0
51600.0,1200.0,4,1015.0,528.3333333333334,0.16666666666666669,14.666666666666668
52800.0,1200.0,4,930.0,526.6666666666666,0.13333333333333336,12.333333333333334
54000.0,9600.0,2,845,525,0.1,10
63600.0,9600.0,2,845,525,0.1,10
73200.0,9600.0,2,845,525,0.1,10
82800.0,1200.0,5,845.0,525.0,0.1,10.0
84000.0,1200.0,5,930.0,526.6666666666666,0.13333333333333333,12.333333333333332
85200.0,1200.0,5,1015.0,528.3333333333334,0.16666666666666669,14.666666666666666
86400.0,16800.0,1,1100,530,0.2,17
103200.0,16800.0,1,1100,530,0.2,17
120000.0,16800.0,1,1100,530,0.2,17
136800.0,1200.0,4,1100.0,530.0,0.2,17.0
138000.0,1200.0,4,1015.0,528.3333333333334,0.16666666666666669,14.666666666666668
139200.0,1200.0,4,930.0,526.6666666666666,0.13333333333333336,12.333333333333334
140400.0,9600.0,2,845,525,0.1,10
150000.0,9600.0,2,845,525,0.1,10
159600.0,9600.0,2,845,525,0.1,10
169200.0,1200.0,5,845.0,525.0,0.1,10.0
170400.0,1200.0,5,930.0,526.6666666666666,0.13333333333333333,12.333333333333332
171600.0,1200.0,5,1015.0,528.3333333333334,0.16666666666666669,14.666666666666666
172800.0,16800.0,1,1100,530,0.2,17
189600.0,16800.0,1,1100,530,0.2,17
206400.0,16800.0,1,1100,530,0.2,17
223200.0,1200.0,4,1100.0,530.0,0.2,17.0
224400.0,1200.0,4,1015.0,528.3333333333334,0.16666666666666669,14.666666666666668
225600.0,1200.0,4,930.0,526.6666666666666,0.13333333333333336,12.333333333333334
226800.0,9600.0,2,845,525,0.1,10
236400.0,9600.0,2,845,525,0.1,10
246000.0,9600.0,2,845,525,0.1,10
255600.0,1200.0,5,845.0,525.0,0.1,10.0
256800.0,1200.0,5,930.0,526.6666666666666,0.13333333333333333,12.333333333333332
258000.0,1200.0,5,1015.0,528.3333333333334,0.16666666666666669,14.666666666666666
259200.0,16800.0,1,1100,530,0.2,17
276000.0,16800.0,1,1100,530,0.2,17
292800.0,16800.0,1,1100,530,0.2,17
